CLASS,geometry
ASS,POINT (26.274054157540736 64.78598158343081)
ASS,POINT (25.801274345789786 64.59827134380006)
ASS,POINT (25.81769783308305 64.58113900212852)
ASS,POINT (25.818071725776264 64.58115820482729)
ASS,POINT (23.65405833369068 64.05654666997093)
ASS,POINT (23.653408332267556 64.04564666998726)
ASS,POINT (23.666551665984283 64.0586066694899)
ASS,POINT (23.683015000130332 64.04348833697736)
ASS,POINT (23.702814999768595 64.02680666734669)
ASS,POINT (24.010081665657825 63.8712800037625)
ASS,POINT (24.0286650005055 63.87121333683369)
ASS,POINT (24.01132000021887 63.88493333211996)
ASS,POINT (24.034966666308932 63.883530001227896)
ASS,POINT (24.14921166614915 63.84782000302023)
ASS,POINT (23.66535333378645 64.02803166747162)
ASS,POINT (23.73897401854658 63.9920496021435)
ASS,POINT (23.749573332560626 64.01750166535963)
ASS,POINT (23.809421667554986 63.95724666389399)
ASS,POINT (24.064599999545553 63.881225002886204)
ASS,POINT (24.05339166786631 63.890921664925756)
ASS,POINT (24.067718334211307 63.89607999580638)
ASS,POINT (24.11814666591113 63.89977333242744)
ASS,POINT (23.890673333557434 63.92582667060955)
ASS,POINT (23.92822499947424 63.89940500416581)
ASS,POINT (23.970458333795534 63.88150666512179)
ASS,POINT (23.993688333215633 63.88293332984551)
ASS,POINT (24.09997166593758 63.86306499807265)
ASS,POINT (24.08298333334201 63.87359833795096)
ASS,POINT (24.12712333311614 63.88348166482314)
ASS,POINT (24.27937333420546 63.7593233312441)
ASS,POINT (24.274120693183768 63.77084835312483)
ASS,POINT (24.308876065096673 63.722485130450586)
ASS,POINT (23.788285811620682 63.97088220121764)
ASS,POINT (23.74224207133844 64.03499045532793)
ASS,POINT (23.87921751190908 63.930672300927164)
ASS,POINT (23.923217503386013 63.91863576144944)
ASS,POINT (23.65871063856093 64.04087539617147)
ASS,POINT (23.79659037000019 64.01815384102743)
ASS,POINT (23.882885528917775 63.96558061487358)
ASS,POINT (23.91297912875275 63.92547405714575)
ASS,POINT (24.19286377834326 63.797394817717986)
ASS,POINT (23.724290504390215 64.03066878393815)
ASS,POINT (23.957161001856033 63.89903250814438)
ASS,POINT (23.942292596205085 63.9076024781619)
ASS,POINT (23.920947558103574 63.91440243284659)
ASS,POINT (24.13482579275627 63.88159119572794)
ASS,POINT (24.032592879700392 63.86935767484032)
ASS,POINT (24.032459550683505 63.8692860138921)
ASS,POINT (23.857977414084075 63.95062559857579)
ASS,POINT (23.82149749428662 63.95618556370923)
ASS,POINT (23.7758591089043 63.97996718325725)
ASS,POINT (23.705768773205943 64.04497875971346)
ASS,POINT (23.652235552977583 64.05311204654402)
ASS,POINT (23.660310685112094 64.03518872868588)
ASS,POINT (23.951549497928013 63.88745250229421)
ASS,POINT (23.418083332686994 64.07542500061746)
ASS,POINT (23.434590048276608 64.07703966188735)
ASS,POINT (23.45893666704478 64.03653666684008)
ASS,POINT (23.49676833289254 64.04642000273168)
ASS,POINT (23.505523333622854 64.03831666657942)
ASS,POINT (23.467031667832547 64.02027499712845)
ASS,POINT (23.414595000229067 63.990706663506025)
ASS,POINT (23.400233334462207 63.9852233308352)
ASS,POINT (23.41197500004323 63.974536668181166)
ASS,POINT (23.41689000060627 64.02050333436078)
ASS,POINT (23.38657166603042 64.05280666448922)
ASS,POINT (23.388283685925018 64.03039083576273)
ASS,POINT (23.400690484062153 63.954508959607814)
ASS,POINT (23.396520000220956 64.04652666441078)
ASS,POINT (23.39071833354396 64.00552833791178)
ASS,POINT (23.18797525001831 63.8739083149456)
ASS,POINT (23.214188467201044 63.873817249457886)
ASS,POINT (23.348875533435645 63.8669281298033)
ASS,POINT (23.3623051334564 63.87240105153787)
ASS,POINT (23.244865232416323 63.870466816407365)
ASS,POINT (23.255501466158524 63.8633543486715)
ASS,POINT (23.256598416419006 63.87588127061004)
ASS,POINT (23.266380400391025 63.85633763692458)
ASS,POINT (23.283120217129337 63.844664414935146)
ASS,POINT (23.29433910037862 63.83528783747678)
ASS,POINT (23.32683833370955 63.820581578847445)
ASS,POINT (23.383812100653184 63.814460034544645)
ASS,POINT (23.404325783878964 63.80777959637755)
ASS,POINT (23.437816716014037 63.78970091425919)
ASS,POINT (23.42721410117515 63.781502564337956)
ASS,POINT (23.431518132822074 63.77271682020978)
ASS,POINT (23.64359291596285 63.774006418335624)
ASS,POINT (23.64951038342194 63.778380796389314)
ASS,POINT (23.710584400479313 63.8033090814147)
ASS,POINT (23.75620163448228 63.824883797851946)
ASS,POINT (23.93773788390745 63.76710982992854)
ASS,POINT (23.86879569956571 63.90938736538832)
ASS,POINT (23.835259873169747 63.91050727451794)
ASS,POINT (23.81719491645017 63.912660798776386)
ASS,POINT (23.847804017209626 63.91849410291922)
ASS,POINT (23.829502633948735 63.923623185207624)
ASS,POINT (23.805024983927506 63.917805034589705)
ASS,POINT (23.869464082865093 63.87780663103072)
ASS,POINT (23.835811500866924 63.87320987977277)
ASS,POINT (23.915163566990756 63.79005091635416)
ASS,POINT (23.908083399530902 63.80240144627054)
ASS,POINT (23.886405532697047 63.83267868300477)
ASS,POINT (23.861179666657108 63.839151831502114)
ASS,POINT (23.874959867577985 63.84848808185464)
ASS,POINT (23.704867383188006 63.81534186877254)
ASS,POINT (23.699809399578555 63.82592862132435)
ASS,POINT (23.67739899962341 63.79741439973283)
ASS,POINT (23.6385877172993 63.79380693304671)
ASS,POINT (23.83618423433275 63.865497849447266)
ASS,POINT (23.86008426634325 63.8850928146743)
ASS,POINT (23.854558750025923 63.89986118510133)
ASS,POINT (23.86504073351064 63.89699095339349)
ASS,POINT (23.882537816489787 63.896356666118656)
ASS,POINT (23.634057415579253 63.81006993814485)
ASS,POINT (23.591426733741983 63.815814369706224)
ASS,POINT (23.54726831758805 63.81593261661605)
ASS,POINT (23.34683775019636 63.85892311550291)
ASS,POINT (23.33725461712928 63.85180623470428)
ASS,POINT (23.342360643154212 63.84056542506347)
ASS,POINT (23.364217717620967 63.846088649883946)
ASS,POINT (23.78272764990017 63.91620854979824)
ASS,POINT (23.778236915205937 63.92569845386637)
ASS,POINT (23.778272849796796 63.93867363565093)
ASS,POINT (23.73164199908465 63.93859326611949)
ASS,POINT (23.71304548328845 63.93505603797387)
ASS,POINT (23.90744835030716 63.8944983173381)
ASS,POINT (23.891803967301975 63.890621679424285)
ASS,POINT (23.910538199733722 63.88348514974355)
ASS,POINT (23.83413825052228 63.90253511933192)
ASS,POINT (23.889315183017082 63.90481561842943)
ASS,POINT (23.71819411561394 63.94564266849261)
ASS,POINT (23.706747400527565 63.954018437047644)
ASS,POINT (23.741490416098795 63.95084158692452)
ASS,POINT (23.774760366367325 63.961270371520946)
ASS,POINT (23.788249133504266 63.94869654897628)
ASS,POINT (23.32971999974194 63.867888333905626)
ASS,POINT (23.346960882025737 63.87652384666719)
ASS,POINT (23.343603333119997 63.88756333348406)
ASS,POINT (23.492823749652022 63.63491154860538)
ASS,POINT (23.64936906605792 63.573029585247866)
